lead_time,avg_price_per_room,no_of_special_requests,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
209,55.96,0,7,29,4,4,1,2017,1,0
104,83.12,1,7,6,4,4,0,2018,2,1
42,152.1,1,8,14,4,2,2,2018,2,1
201,82.28,3,11,1,4,4,0,2018,2,1
79,139.5,0,7,11,4,4,1,2018,3,1
36,90.09,1,9,25,4,0,2,2018,2,1
308,52.0,0,11,25,3,2,0,2018,2,0
90,171.9,1,11,7,4,1,1,2018,2,1
39,116.1,0,5,12,4,2,0,2018,2,0
84,134.1,1,8,4,4,2,0,2018,2,1
74,102.68,0,9,18,3,0,2,2018,2,1
3,130.0,2,10,13,4,1,0,2018,1,1
184,80.75,1,7,7,4,3,1,2018,2,1
4,160.5,1,6,18,4,1,1,2018,2,1
1,65.0,0,4,1,2,1,0,2018,1,1
108,98.25,0,9,19,4,1,2,2017,2,0
20,80.0,0,1,18,2,1,1,2018,1,1
139,90.95,0,9,5,3,1,1,2018,2,1
34,48.67,0,1,17,3,1,2,2018,2,1
18,75.54,0,12,1,4,6,2,2018,2,1
162,139.05,2,8,21,4,2,2,2018,3,0
42,103.84,0,4,21,4,3,1,2018,2,1
46,85.0,0,3,21,3,3,1,2018,2,1
7,144.0,0,5,5,3,3,0,2018,2,1
275,118.2,2,9,23,4,2,1,2018,2,0
179,96.3,1,7,1,4,1,0,2018,2,0
100,88.74,0,12,26,4,4,1,2018,2,0
18,76.81,2,9,2,4,3,0,2017,2,1
192,95.0,0,6,24,3,2,0,2018,1,1
13,78.0,0,12,20,4,3,0,2018,1,1
35,219.6,0,8,19,4,3,2,2018,3,0
1,100.0,0,10,2,3,2,0,2017,1,1
11,130.0,1,11,5,4,1,0,2018,2,0
32,73.0,0,11,20,3,2,0,2017,1,1
39,101.5,0,8,14,3,2,0,2017,2,1
60,65.0,0,4,25,2,0,1,2018,1,1
100,80.75,0,9,25,3,1,2,2018,2,1
169,106.0,0,4,22,3,2,2,2018,2,0
29,66.18,1,12,2,2,2,0,2018,1,1
99,81.0,0,2,19,2,1,0,2018,1,1
280,73.95,1,11,16,4,4,0,2018,2,0
71,80.0,0,5,10,3,3,0,2018,1,1
11,95.48,1,3,16,4,3,0,2018,2,1
45,71.1,0,3,12,4,1,1,2018,2,0
28,97.63,1,4,17,4,1,2,2018,2,0
196,72.25,0,8,1,3,5,2,2018,2,1
113,116.1,1,6,13,4,2,1,2018,2,1
1,60.0,0,2,28,3,1,2,2018,1,0
89,96.3,1,4,12,4,3,0,2018,2,1
55,78.3,1,3,16,4,2,0,2018,2,1
15,142.67,1,6,21,4,3,0,2018,2,1
34,118.96,1,3,10,4,8,3,2018,3,0
24,99.5,0,9,7,3,2,1,2017,2,1
3,147.67,0,3,24,4,3,0,2018,2,0
215,177.09,0,11,6,4,5,2,2018,2,0
64,121.72,0,11,7,4,3,1,2018,2,1
107,150.3,0,8,17,4,4,1,2018,3,0
221,65.0,0,10,10,3,1,2,2017,2,1
150,101.0,0,1,2,3,1,2,2018,2,1
11,145.0,0,7,10,4,2,2,2018,1,0
59,70.72,0,11,17,4,3,0,2018,2,1
160,80.1,0,10,29,4,1,0,2018,2,0
38,125.62,0,11,5,4,1,2,2018,2,0
50,145.69,0,11,9,4,2,0,2018,2,0
